2016-2017,1,BA 161,Iloilo City,Lec,PA 1,1,T F,5:30-7:00,3,34,"ENDONILA,A",
2016-2017,2,BA 162,Iloilo City,Lec,PA 2,2,T F,5:30-7:00,3,31,"NAFARRETE,J",
2016-2017,2,BA 162,Iloilo City,Lec,PA 2,1,M Th,5:30-7:00,3,31,"NAFARRETE,J",
2016-2017,1,BA 164,Iloilo City,Lec,PA 2,2,M Th,5:30-7:00,3,32,"NAFARRETE,J",
2016-2017,1,BA 164,Iloilo City,Lec,CM 1,1,M Th,5:30-7:00,3,30,"AMULAR,D",
2016-2017,2,BA 167,Iloilo City,Lec,CM 1,1,T F,5:30-7:00,3,26,"AMULAR,D",
2016-2017,2,BA 167,Iloilo City,Lec,CM 1,2,M Th,5:30-7:00,3,26,"AMULAR,D",
2016-2017,1,BA 170,Iloilo City,Lec,CM 1,2,M Th,8:30-10:00,3,27,"GELVEZON,R",
2016-2017,1,BA 170,Iloilo City,Lec,CM 1,1,M Th,7:00-8:30,3,16,"GELVEZON,R",
2016-2017,1,BA 170,Iloilo City,Lec,CM 1,3,M Th,11:30-1:00,3,25,"GELVEZON,R",
2016-2017,1,BA 170,Iloilo City,Lec,LT Annex,4,T F,2:30-4:00,3,16,"TAN,R",7/25/2016 10:57
2016-2017,2,BA 170,Iloilo City,Lec,PA 3,2,T F,2:30-4:00,3,31,"CAINGLET,Y",
2016-2017,2,BA 170,Iloilo City,Lec,PA 3,1,T F,1:00-2:30,3,31,"CAINGLET,Y",
2016-2017,2,BA 171,Iloilo City,Lec,CM 1,1,M Th,7:00-8:30,3,33,"GELVEZON,R",
2016-2017,2,BA 171,Iloilo City,Lec,CM 1,2,M Th,8:30-10:00,3,33,"GELVEZON,R",
2016-2017,1,BA 172,Iloilo City,Lec,PA 3,3,T F,2:30-5:30,6,25,"CAINGLET,Y",
2016-2017,1,BA 172,Iloilo City,Lec,PA 2,2,M T Th F,2:30-4:00,6,25,"ALBAÑA,M",
2016-2017,1,BA 172,Iloilo City,Lec,PA 2,1,M T Th F,4:00-5:30,6,25,"ALBAÑA,M",
2016-2017,1,BA 173,Iloilo City,Lec,PA 3,2,M Th,2:30-4:00,3,25,"CAINGLET,Y",
2016-2017,1,BA 173,Iloilo City,Lec,PA 3,1,M Th,1:00-2:30,3,25,"GELVEZON,R",
2016-2017,1,BA 173,Iloilo City,Lec,PA 3,3,M Th,4:00-5:30,3,26,"CAINGLET,Y",
2016-2017,2,BA 174,Iloilo City,Lec,CM 1,1,M Th,10:00-11:30,3,22,"GELVEZON,R",
2016-2017,2,BA 174,Iloilo City,Lec,CM 1,3,T F,7:00-8:30,3,22,"GELVEZON,R",
2016-2017,2,BA 174,Iloilo City,Lec,PA 1,2,M Th,2:30-4:00,3,22,"GELVEZON,R / TAN,R",
2016-2017,2,BA 175,Iloilo City,Lec,PA 2,3,T F,1:00-2:30,3,29,"ALBAÑA,M",
2016-2017,2,BA 175,Iloilo City,Lec,HB 1,1,T F,2:30-4:00,3,29,"HORTILLO,J / TAN,R",
2016-2017,2,BA 175,Iloilo City,Lec,PA 1,2,M Th,1:00-2:30,3,29,"CAINGLET,Y / TAN,R",
2016-2017,1,BA 176,Iloilo City,Lec,HB 2,1,M Th,10:00-11:30,3,25,"CAINGLET,Y",
2016-2017,1,BA 176,Iloilo City,Lec,HB 1,2,M Th,1:00-2:30,3,25,"CAINGLET,Y",
2016-2017,1,BA 176,Iloilo City,Lec,GCEB36,3,M Th,1:00-2:30,3,25,"SAMSON,N",
2016-2017,2,BA 178,Iloilo City,Lec,PA 3,3,T F,4:00-5:30,3,29,"CAINGLET,Y",
2016-2017,2,BA 178,Iloilo City,Lec,GCEB35,1,M Th,2:30-4:00,3,29,"ALBAÑA,M",
2016-2017,2,BA 178,Iloilo City,Lec,GCEB35,2,M Th,1:00-2:30,3,29,"ALBAÑA,M",
2016-2017,1,BA 179,Iloilo City,Lec,HB 2,1,M Th,4:00-5:30,3,36,"NUÑEZ,R",
2016-2017,2,BA 179,Iloilo City,Lec,PA 1,2,T F,5:30-7:00,3,36,"ENDONILA,A",
2016-2017,2,BA 179,Iloilo City,Lec,PA 1,1,T F,4:00-5:30,3,34,"ENDONILA,A",
2016-2017,1,BA 181,Iloilo City,Lec,HB 2,1,T F,1:00-2:30,3,32,"DE LEON,F",
2016-2017,1,BA 181,Iloilo City,Lec,HB 2,2,T F,2:30-4:00,3,32,"DE LEON,F",
2016-2017,1,BA 181,Iloilo City,Lec,LT Annex,3,T F,1:00-2:30,3,25,"FERNANDEZ,C",
2016-2017,2,BA 181,Iloilo City,Lec,AVR 2,1,M Th,1:00-2:30,3,29,"DE LEON,F",
2016-2017,2,BA 181,Iloilo City,Lec,AVR 2,2,M Th,2:30-4:00,3,36,"DE LEON,F",
2016-2017,1,BA 183.1,Iloilo City,Lec/Lab,CL1,4,M Th,10:00-12:30,3,19,"DUMPIT,D",
2016-2017,1,BA 183.1,Iloilo City,Lec/Lab,CL1,1,M Th,7:00-9:30,3,18,"DUMPIT,D",
2016-2017,1,BA 183.1,Iloilo City,Lec/Lab,CL1,2,T F,7:00-9:30,3,18,"DUMPIT,D",
2016-2017,1,BA 183.1,Iloilo City,Lec/Lab,CL1,3,T F,10:00-12:30,3,18,"DUMPIT,D",
2016-2017,2,BA 183.1,Iloilo City,Lec/Lab,CL1,4,M Th,4:00-6:30,3,18,"MILLAN,S",
2016-2017,2,BA 183.1,Iloilo City,Lec/Lab,CL1,3,W,1:00-6:00,3,18,"TENDERO,V",
2016-2017,2,BA 183.1,Iloilo City,Lec/Lab,CL1,1,M Th,10:00-12:30,3,18,"DUMPIT,D",
2016-2017,2,BA 183.1,Iloilo City,Lec/Lab,CL1,2,T F,10:00-12:30,3,19,"DUMPIT,D",
